,post_url,num_comments,num_likes,caption,image_url,is_video
20,https://www.instagram.com/p/CGHRzkzh3X7/,130,47200,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1998/99
Carolyn Murphy by J.M.Ferrater

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look #zarawoman #zaraarchives",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/121060892_342322673686945_5549613923350962038_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=LnaFtXjCxT8AX-VZekM&tp=19&oh=280df95040b7330959814f395a561ca6&oe=5FB984F3,False
21,https://www.instagram.com/p/CGFysDqBDgU/,256,52022,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1998/99
Amber Valletta by J.M.Ferrater

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look.
#zarawoman #zaraaarchives",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/121226359_901280823737008_2181533781977662444_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=W1N6PRY9YLIAX-zMxRR&tp=19&oh=def7ee5e88d2971fabcb0460a0dab7cc&oe=5FBB3F3B,False
22,https://www.instagram.com/p/CGFTju-hOV0/,297,62390,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1996/97
Amber Valletta by Outumuro

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look.
#zarawoman #zaraaarchives",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/121022796_631625447501399_6532429360042908706_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=S6owjt-Q6YwAX_AM22N&tp=19&oh=c055847b23a679ed9561fc06449ba392&oe=5FBBE1C0,False
23,https://www.instagram.com/p/CGEziMoBdXy/,570,130584,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 2003/04
Kate Moss  by Alfonso Ohnur

Reviving Zara campaigns of the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look.
#zarawoman #zaraarchive",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120993283_686054768975044_6854608491474824459_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=mnAFDdEugi8AX-DY69z&tp=19&oh=aa42bef535448504213487f911a620d5&oe=5FB96367,False
24,https://www.instagram.com/p/CF7jisSBVUb/,459,70327,ZARA / CITIES. A project shot in the streets of Amsterdam @zaraman #zaracities #zaraman,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120617088_3361215283970195_4641620479375143867_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=w5YVnelknuEAX8HMhC1&tp=19&oh=4c9890f4fe4428bb7e2191bf13d3f3ee&oe=5FBA5573,False
25,https://www.instagram.com/p/CF7C9VNBOfh/,219,66235,ZARA / CITIES. A project shot in the streets of Amsterdam @zaraman #zaracities #zaraman,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120876378_788108388400705_2582196076956520113_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=cia1bjdxjG0AX8I7-dS&tp=19&oh=f80141ef4ea17eebafb0d1b25a496825&oe=5FBA19F1,False
26,https://www.instagram.com/p/CF6k_FBhcfM/,267,83417,ZARA / CITIES. A project shot in the streets of Amsterdam @zaraman #zaracities #zaraman,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120854506_338008630741395_4936793619813078642_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=mXoUEFBYyc8AX-jw6ko&tp=19&oh=440f8e8d969cb7a9d4e76b0c2ea230f0&oe=5FBC024D,False
27,https://www.instagram.com/p/CF2a18PC8ya/,1521,22746,Halloween collection for Kids @zarakids #zarakids,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/120577240_363826164801017_8879882189491685713_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=2ZC9kb8wAnIAX9VcHLR&_nc_tp=18&oh=b348a096579e806ddbf55eed42a04e3e&oe=5F93AB81,True
28,https://www.instagram.com/p/CF10Tn1CN7Y/,999,21595,Credits. New season! Get the kids ready for Halloween. Thank you all! @zarakids #zarakids,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/120354207_426517741660987_5151446397575059488_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=mz192OQvDHoAX84Ak5c&_nc_tp=18&oh=56ff3960511cd457bbc31ec039d5afc3&oe=5F9396EB,True
29,https://www.instagram.com/p/CF1ZUlRCqK5/,366,20592,New season! Get the kids ready for halloween @zarakids #zarakids,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/120578156_142492170898485_6530347366401896362_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=mTD2Wpeucm4AX8B375L&_nc_tp=18&oh=a2d05fedf15ffbabc710b1d3ba60af12&oe=5F937AA1,True
