,words,freq
856,enjoy,36
857,cognac,36
858,addition,35
859,dominant,35
860,flavorful,35
861,finishing,35
862,wonderfully,35
863,lemony,35
864,whiff,35
865,continues,35
866,soon,35
867,dominates,35
868,dominated,35
869,port,35
870,honestly,35
871,forms,35
872,ne,35
873,firm,35
874,semisweet,35
875,retains,34
876,fudgy,34
877,balances,34
878,guess,34
879,provides,34
880,tight,34
881,times,34
882,onion,34
883,sits,34
884,bottling,34
885,biscuity,34
886,week,34
887,able,34
888,home,34
889,quick,34
890,lips,34
891,cantillon,34
892,believe,34
893,share,34
894,american,34
895,ill,34
896,pulp,33
897,smelled,33
898,bouquet,33
899,face,33
900,hf,33
901,name,33
902,persistent,33
903,special,33
904,inky,33
905,seemed,33
906,restrained,33
907,become,33
908,kick,33
909,jammy,33
910,bring,33
911,glowing,32
912,surprising,32
913,qualities,32
914,works,32
915,produced,32
916,copper,32
917,astringent,32
918,flat,32
919,toward,32
920,slow,32
921,definite,32
922,prune,32
923,weed,32
924,carries,32
925,pop,32
926,filling,32
927,lush,32
928,several,32
929,tannic,32
930,barrelaged,32
931,brewing,32
932,edition,31
933,remember,31
934,usual,31
935,esters,31
936,ok,31
937,peanut,31
938,lasts,31
939,fully,31
940,offers,31
941,bcbs,31
942,project,31
943,barely,31
944,characteristics,31
945,past,31
946,yields,31
947,dusty,31
948,tingly,31
949,brewed,31
950,luscious,31
951,elements,31
952,expecting,31
953,temperature,31
954,ounce,30
955,including,30
956,ample,30
957,adjuncts,30
958,evident,30
959,stays,30
960,among,30
961,translucent,30
962,finished,30
963,aromatic,30
964,heady,30
965,giving,30
966,bought,30
967,faded,30
968,course,30
969,via,30
970,scent,30
971,blueberries,30
972,dose,30
973,tad,30
974,levels,30
975,instead,29
976,simple,29
977,appropriate,29
978,raw,29
979,sips,29
980,roastiness,29
981,hopped,29
982,disappears,29
983,bigger,29
984,sediment,29
985,appears,29
986,fridge,29
987,hazelnut,29
988,month,29
989,strength,29
990,lower,29
991,strongly,29
992,pie,29
993,case,29
994,hell,29
995,within,29
996,rest,29
997,feeling,29
998,integrated,29
999,west,29
1000,taking,29
1001,nuttiness,29
1002,viscosity,28
1003,blended,28
1004,otherwise,28
1005,already,28
1006,mediumhigh,28
1007,man,28
1008,smoky,28
1009,additional,28
1010,shine,28
1011,maltiness,28
1012,richness,28
1013,funkiness,28
1014,providing,28
1015,champagne,27
1016,mandarin,27
1017,fl,27
1018,accompanied,27
1019,stemmed,27
1020,lemons,27
1021,coast,27
1022,serving,27
1023,rising,27
1024,thank,27
1025,soaked,27
1026,swirl,27
1027,spiciness,27
1028,people,27
1029,reminiscent,27
1030,went,27
1031,doughy,27
1032,falls,27
1033,split,27
1034,help,27
1035,settling,27
1036,mean,27
1037,brownies,27
1038,spots,27
1039,pulpy,26
1040,keeps,26
1041,prunes,26
1042,hearty,26
1043,helps,26
1044,stronger,26
1045,holy,26
1046,yes,26
1047,distinct,26
1048,wisps,26
1049,entire,26
1050,watery,26
1051,mf,26
1052,kiss,26
1053,semi,26
1054,gently,26
1055,surprised,26
1056,happy,26
1057,waves,26
1058,fade,26
1059,touches,26
1060,lets,26
1061,spiced,26
1062,brought,26
1063,yelloworange,26
1064,nature,25
1065,generous,25
1066,layered,25
1067,cork,25
1068,ddh,25
1069,mixing,25
1070,bringing,25
1071,chocolatey,25
1072,weak,25
1073,etc,25
1074,packed,25
1075,higher,25
1076,sparse,25
1077,single,25
1078,smoothness,25
1079,blast,25
1080,describe,25
1081,astringency,25
1082,mineral,25
1083,rim,25
1084,considering,25
1085,flesh,25
1086,goodness,25
1087,gone,25
1088,possibly,25
1089,per,25
1090,opening,25
1091,wax,25
1092,dirty,25
1093,hides,25
1094,fact,25
1095,simply,25
1096,list,25
1097,cans,25
1098,craft,25
1099,melted,25
1100,backend,25
1101,beyond,24
1102,acquired,24
1103,dissipating,24
1104,natural,24
1105,offerings,24
1106,friends,24
1107,secondary,24
1108,alongside,24
1109,th,24
1110,store,24
1111,main,24
1112,couldnt,24
1113,baking,24
1114,unpleasant,24
1115,rated,24
1116,use,24
1117,stand,24
1118,stickiness,24
1119,delightful,24
1120,stick,24
1121,received,24
1122,filled,24
1123,minor,24
1124,chalky,24
1125,obviously,24
1126,savory,24
1127,four,24
1128,speak,24
1129,intensity,24
1130,juiciness,24
1131,builds,24
1132,butterscotch,24
1133,abraxas,24
1134,wanted,24
1135,leafy,24
1136,combo,24
1137,reveals,24
1138,shot,24
1139,creating,24
1140,clove,23
1141,oxidation,23
1142,seriously,23
1143,imagine,23
1144,acetic,23
1145,milkshake,23
1146,fudgey,23
1147,literally,23
1148,youre,23
1149,sitting,23
1150,temp,23
1151,gave,23
1152,dull,23
1153,whatsoever,23
1154,smoked,23
1155,fan,23
1156,shines,23
1157,wave,23
1158,cookie,23
1159,clementine,23
1160,buy,23
1161,taster,23
1162,early,23
1163,mid,23
1164,nelson,23
1165,flavours,23
1166,explosion,23
1167,bubblegum,23
1168,almond,23
1169,ones,23
1170,clarity,23
1171,oatmeal,23
1172,life,23
1173,sensation,23
