,words,count
892,april,3
893,plus,3
894,"prune,",3
895,barrels.,3
896,warms,3
897,refreshing,3
898,"front,",3
899,edge,3
900,decadent,3
901,added,3
902,remarkable,3
903,5.,3
904,"like,",3
905,"smoke,",3
906,"one,",3
907,takes,3
908,that’s,3
909,craft,3
910,found,3
911,enjoy,3
912,under,3
913,mainly,3
914,fruits.,3
915,2021.,3
916,capped,3
917,allowed,3
918,typical,3
919,whether,3
920,them.,3
921,mind,3
922,oh,3
923,flavours,3
924,bubbles,3
925,picked,3
926,warmth,3
927,dc.,3
928,better.,3
929,whole,3
930,people,3
931,"bright,",3
932,porter,3
933,natural,3
934,evident,3
935,holding,3
936,"retention,",3
937,pepper.,3
938,already,3
939,malts.,3
940,"end,",3
941,yeast,3
942,each,3
943,day.,3
944,sugar.,3
945,point,3
946,more.,3
947,warming.,3
948,hits,3
949,jump,3
950,"wine,",3
951,"bitter,",3
952,highest,3
953,west,3
954,drinks,3
955,"floral,",3
956,near,3
957,sides,3
958,backbone,3
959,t-,3
960,four-pack,3
961,spot,3
962,secondary,3
963,coarse,3
964,batter,3
965,brownie,3
966,chewy.,3
967,inky,3
968,"drying,",3
969,beige,3
970,viscosity,3
971,someone,3
972,molasses.,3
973,"age,",3
974,once,3
975,"roasty,",3
976,hype,3
977,oily,3
978,resin.,3
979,rimming,3
980,"years,",3
981,bomb.,3
982,tannic,3
983,enjoying,3
984,rich.,3
985,warms.,3
986,though.,3
987,june,3
988,especially,3
989,opportunity,3
990,despite,3
991,fruited,3
992,weeks,3
993,original,3
994,hill,3
995,glad,3
996,creaminess,3
997,bottling,3
998,bold,3
999,funk.,3
1000,"light,",3
1001,"funky,",3
1002,lends,3
1003,dissipated,3
1004,treat,3
1005,particular,3
1006,cherry.,3
1007,slow,3
1008,truly,3
1009,persistent,3
1010,caramel.,3
1011,due,3
1012,track,3
1013,wine.,3
1014,toast,3
1015,raspberries.,3
1016,again.,3
1017,russian,3
1018,bite.,3
1019,brown.,3
1020,"very,",3
1021,buy,3
1022,a-,3
1023,"berries,",3
1024,bubble,3
1025,"syrup,",3
1026,beautiful.,3
1027,several,3
1028,alone,3
1029,pulpy,3
1030,quick,3
1031,that.,3
1032,expecting,3
1033,emitted.,3
1034,large,3
1035,rated,3
1036,50°f.,3
1037,hype.,3
1038,balances,3
1039,s-,3
1040,wait,3
1041,extra,3
1042,noticeable,3
1043,foam,3
1044,relatively,3
1045,fudge,3
1046,hear,3
1047,acidic,3
1048,lambic,3
1049,glass;,3
1050,balanced.,3
1051,heat.,3
1052,flavorful.,3
1053,present,3
1054,"chewy,",3
1055,overbearing.,3
1056,spice.,3
1057,receding,3
1058,cork,3
1059,"crisp,",3
1060,mouthfeel/body:,3
1061,juicy.,3
1062,"dark,",3
1063,lead,3
1064,initial,3
1065,drinkability,3
1066,detect,3
1067,leaning,3
1068,4.25,3
1069,start,3
1070,julius,3
1071,further,3
1072,usual,3
1073,slick,3
1074,"vinous,",3
1075,prefer,3
1076,trying,3
1077,created,3
1078,"great,",3
1079,expected,3
1080,drink:,3
1081,live,3
1082,swallow,3
1083,spiciness,3
1084,flat.,3
1085,drinkable.,3
1086,close,3
1087,often,3
1088,drier,3
1089,viscosity.,3
1090,"pear,",3
1091,great.,3
1092,marked,3
1093,can’t,3
1094,both,3
1095,nuanced,3
1096,complex.,3
1097,brett,3
1098,aftertaste,3
1099,proper,3
1100,effervescent,3
1101,background.,3
1102,"bite,",3
1103,2,3
1104,rating,3
1105,candied,3
1106,recommend,3
1107,picking,3
1108,bubbles.,3
1109,awesome.,3
1110,had.,3
1111,kinda,3
1112,tasty.,3
1113,"thin,",3
